text,is_quote_status,has_card,1_day_after,is_in_reply_to,is_urls,year,month,day_of_week
"['close', 'aapl', 'nvda', 'amzn', 'smci', 'get', 'discord', 'bot', 'help', 'navig', 'market', 'gener', 'visual', 'like', 'heatmap', 'imag', 'link', 'link', 'httpstcolidpncxzai', 'httpstcobnbqlu4ip']",0,0,1,0,1,2024,8,2
"['appl', 'aapl', 'close', '48', 'sinc', 'sept', '2022', 'warren', 'buffett', 'berkshir', 'hathway', 'brkb', 'sold', '50', 'appl', 'posit', 'httpstcoyblxxfgqop']",0,0,1,0,0,2024,8,0
"['break', 'warren', 'buffett', 'berkshir', 'hathaway', 'brka', 'sold', 'nearli', 'half', 'stake', 'appl', 'aapl', '842', 'billion', 'end', 'second', 'quarter', 'suggest', 'oracl', 'omaha', 'offload', 'littl', '49', 'stake']",0,0,0,0,0,2024,8,5
"['break', 'appl', 'aapl', 'earn', 'ep', '140', 'vs', '134', 'expect', 'beat', 'revenu', '858', 'b', 'vs', '8438', 'b', 'expect', 'beat', 'link', 'httpstconz42mmeayo', 'httpstcoy2ibafs58i']",0,0,0,0,1,2024,8,3
"['call', 'earn', 'call', 'aapl', 'amzn', 'coin', 'trade', 'ten', 'minut', 'left', 'go', 'httpstcogogf6ikkb7']",0,0,0,0,0,2024,8,3
"['everyon', 'head', 'aapl', 'amzn', 'coin', 'intc', 'snap', 'mara', 'x', 'sq', 'dkng', 'dash', 'roku', 'net', 'mstr', 'earn', 'httpstcontxp1fvmj5']",0,0,0,0,0,2024,8,3
"['bullish', 'bearish', 'option', 'chain', 'trade', 'today', 'jpm', 'shop', 'amd', 'nvda', 'coin', 'aapl', 'link', 'httpstcocc6czp0f16', 'httpstcoce9ukz7ihh']",0,0,0,0,1,2024,8,3
"['aapl', 'appl', 'earn', 'breakdown', 'impli', 'move', '364', '793', 'four', 'last', 'seven', 'move', 'greater', 'expect', 'earn', 'move', 'aapl', 'gener', 'posit', 'one', 'week', 'earn', 'follow', 'posit', 'week', 'earn', 'link', 'httpstcov3xacnzvcu']",0,0,0,0,1,2024,8,3
"['earn', 'hour', 'aapl', 'amzn', 'intc', 'snap', 'mara', 'x', 'coin', 'sq', 'dkng', 'mstr', 'open', 'httpstcoikaoj21cih', 'httpstcob6ulp7kfqf']",0,0,0,0,1,2024,8,3
"['appl', 'aapl', 'say', 'ai', 'model', 'train', 'googl', 'googl', 'custom', 'chip']",0,0,1,0,0,2024,7,0
"['close', 'aapl', 'amzn', 'meta', 'link', 'httpstcolidpncxzai', 'httpstco77kpmlx1ov']",0,0,1,0,1,2024,7,0
"['appl', 'aapl', 'releas', 'first', 'version', 'appl', 'intellig', 'suit', 'artifici', 'intellig', 'featur', 'improv', 'siri', 'automat', 'gener', 'email', 'imag', 'sort', 'notif']",0,0,1,0,0,2024,7,0
"['13', 'sampp', 'nasdaq', 'compani', 'report', 'week', 'mcd', 'amd', 'ea', 'fslr', 'mdlz', 'msft', 'pfe', 'pin', 'pypl', 'sofi', 'w', 'arm', 'ba', 'ccj', 'envx', 'meta', 'mo', 'qcom', 'teva', 'th', 'aapl', 'amzn', 'coin', 'dkng', 'intc', 'mbli', 'mrna', 'net', 'rblx', 'snap', 'sq', 'f', 'xom', 'follow', 'httpstcolngvheg6rw', 'httpstcoiml6vuimiz']",0,0,1,0,1,2024,7,0
"['new', 'mobil', 'featur', 'revamp', 'mobil', 'earn', 'breakdowsn', 'app', 'amp', 'overview', 'page', 'stock', 'option', 'use', 'app', 'week', 'help', 'navig', 'market', 'busi', 'earn', 'week', 'aapl', 'amzn', 'msft', 'report', 'app', 'link', 'httpstcog6exgd58au', 'httpstcondlzak8487']",0,0,1,0,1,2024,7,0
"['mark', 'zuckerberg', 'meta', 'say', 'want', 'control', 'tech', 'destini', 'releas', 'largest', 'opensourc', 'ai', 'model', 'ever', 'avoid', 'soulcrush', 'tactic', 'appl', 'aapl', 'per', 'bloomberg', 'httpstcohcnkyfp7qq']",0,0,0,0,0,2024,7,5
"['appl', 'aapl', 'store', 'worker', 'maryland', 'made', 'histori', 'secur', 'firstev', 'tent', 'union', 'contract', 'per', 'moreperfectunion', 'agreement', 'worker', 'win', '10', 'rais', 'schedul', 'improv', 'limit', 'contract', 'worker']",0,0,0,0,0,2024,7,5
"['appl', 'aapl', 'storefront', 'employe', 'maryland', 'secur', 'firstev', 'tent', 'union', 'contract', 'aapl', 'per', 'acoreunion']",0,0,0,0,0,2024,7,5
"['top', 'bullish', 'bearish', 'chain', 'wfc', 'cohr', 'uber', 'meta', 'up', 'dal', 'bac', 'aapl', 'see', 'httpstcos2le2hzhoz', 'httpstcozum7datfzg']",0,0,0,0,1,2024,7,2
"['big', 'tech', 'like', 'meta', 'nvda', 'tsla', 'aapl', 'googl', 'fall', 'buy', 'wait', 'httpstcoyeaeef8cbl']",0,0,0,0,0,2024,7,2
"['appl', 'aapl', 'work', 'foldabl', 'iphon', 'could', 'releas', 'earli', '2026']",0,0,0,0,0,2024,7,1
"['appl', 'aapl', 'move', 'ahead', 'foldabl', 'phone', 'per', 'inform']",0,0,0,0,0,2024,7,1
"['say', 'want', 'enter', 'aapl', 'best', 'time', 'year', 'maxim', 'averag', 'gain', 'well', 'figur', 'easili', 'simpli', 'use', 'chart', 'season', 'page', 'unusu', 'whale', 'gme', 'gamestop', 'check', 'httpstcoev1epy3djj']",0,0,0,1,1,2024,7,5
"['back', 'februari', 'report', 'peopl', 'return', 'appl', 'aapl', 'vision', 'read', 'httpstcoqr7x29thth', 'appl', 'aapl', 'fan', 'start', 'return', 'vision', 'pro']",0,1,0,1,1,2024,7,5
"['say', 'want', 'enter', 'aapl', 'best', 'time', 'year', 'maxim', 'averag', 'gain', 'well', 'figur', 'easili', 'simpli', 'use', 'chart', 'season', 'page', 'unusu', 'whale', 'gme', 'check', 'httpstcoev1epy3djj']",0,0,0,1,1,2024,7,4
"['appl', 'aapl', 'vision', 'pro', 'yet', 'sell', '100000', 'unit', 'per', 'idc', 'bloomberg']",0,0,0,0,0,2024,7,4
